Content,Video title,Video publish time,New viewers,Returning viewers,Likes,Subscribers gained,Shown in feed,Viewed (vs. swiped away) (%),Average percentage viewed (%),Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
0NlT2iz5Isc,DO YOU WANT IT?,"Feb 22, 2024",,,22,0,1231,39.16,71.47,482,1.7224,0,33,9.09
59VQnSxXBYA,Do you really want it!!,"Jan 18, 2024",,,19,2,1589,29.7,100.76,472,1.3211,2,116,7.76
mK8K9PfRg1s,Do you want success? #selfimprovement  #motivation #yourdreams,"Dec 8, 2023",,,16,1,1446,32.71,57.75,474,1.5207,1,140,3.57
4RpQ7U_N7sI,Why you keep messing up?,"Feb 11, 2024",,,15,0,1173,39.3,53.93,461,1.5193,0,99,7.07
jlz9d920zDI,Make up your mind! #selfimprovement  #motivation,"Dec 19, 2023",,,20,1,1669,27.86,93.37,465,1.6885,1,195,3.59
sVwPSh-8Cyk,How to grow easily,"Feb 24, 2024",,,14,1,1139,37.49,65.38,427,1.3184,1,41,7.32
fKJOWlKabs8,Sometimes it's hard,"Feb 20, 2024",,,19,1,1166,35.25,81.98,411,1.4976,1,51,5.88
UnilhHgKwts,You have to show up!!,"Jan 4, 2024",,,12,0,896,46.43,53.83,416,1.3684,0,107,3.74
2EfycTcuRkY,Project Kaizen Day 1,"Nov 18, 2023",,,20,4,1032,43.9,43.96,456,2.2272,4,379,18.47
xr9HSce1pZw,Keep working! Job not done!,"Jan 7, 2024",,,11,2,1193,34.37,82.13,410,1.216,2,128,4.69
zABAp-yiWms,Your journey is about...,"Feb 12, 2024",,,13,1,1245,32.05,92.48,399,1.025,1,65,9.23
kVS0LVkJQAk,What is gained? #selfimprovement  #motivation,"Dec 10, 2023",,,12,3,784,49.11,63.72,386,1.4349,2,147,6.8
6_fkZahdbRk,You have to want it. #selfimprovement  #motivation,"Dec 13, 2023",,,20,0,1178,31.92,105.66,376,1.9864,0,137,3.65
JU5mcxgmvdA,You don't value your TIME,"Dec 28, 2023",,,15,1,998,34.87,63.64,349,1.4807,1,134,2.99
rm6CThUBGYI,Are you better today? #motivation,"Jan 9, 2024",,,15,0,869,37.63,69.71,327,0.8232,0,135,5.93
SWpdK7Q6k2U,Create GOALS to achieve your dreams.,"Nov 23, 2023",,,19,0,986,31.34,66.82,314,1.3988,0,194,4.12
lgkYutqSCxo,DO you really want it?,"Jan 10, 2024",,,12,0,760,40.26,71.45,306,1.0324,0,136,5.15
9JQgbGLcTSU,Make a PLAN and DO SOMETHING!,"Dec 31, 2023",,,19,1,936,31.73,68.91,297,1.0802,1,254,1.57
KoR11wVSexc,"Ever tried, try again #selfimprovement  #motivation #yourdreams","Dec 5, 2023",,,21,1,935,31.55,65.45,296,1.0763,1,139,5.76
RrWqbbEnQ5s,You're not alone; keep trying!!,"Jan 22, 2024",,,13,1,833,35.41,69.24,295,1.305,1,123,2.44
7kXJWnaQSp0,You need to believe,"Dec 29, 2023",,,10,1,802,35.54,85.52,288,0.9578,1,113,3.54
GPqWcmS6VUI,PK7: STICK YOUR HEAD DOWN. #motivation #selfimprovement,"Nov 24, 2023",,,17,2,795,34.47,60.05,274,0.8227,2,173,4.62
96pt3M0rSpQ,You hold the power you need.,"Feb 17, 2024",,,16,1,912,29.71,60.09,271,1.0404,1,87,5.75
SymBcS46v5w,You can do anything if you want to #selfimprovement  #motivation #yourdreams,"Dec 4, 2023",,,19,0,700,37.86,58.4,266,1.0357,0,156,4.49
ec99R_qFYhs,Improve 1% today💪💪,"Nov 19, 2023",,,16,0,640,42.34,63.88,272,1.641,0,274,6.93
5HV_rTlFgv8,How to handle Failure,"Nov 21, 2023",,,15,0,710,36.06,30.33,257,1.299,0,415,6.27
_nX8XWFdOHw,You can't wait anymore!!,"Jan 11, 2024",,,14,2,719,34.21,62.71,247,0.9466,1,155,3.87
51NSZBJHPj8,STOP procrastinating; it's not worth it!!,"Jan 13, 2024",,,11,0,705,34.89,66.06,246,0.9932,0,123,8.94
QAobOKU5CoU,You gotta get better. #selfimprovement  #motivation,"Dec 18, 2023",,,14,1,584,40.41,57.25,236,0.8632,1,140,6.43
 -GhQQTIylYY,DON'T FOCUS ON DOUBT  #selfimprovement  #motivation #yourdreams,"Nov 29, 2023",,,15,1,585,34.7,62.62,203,0.8475,1,118,2.54
7myByuWsuuc,You can't give up #selfimprovement  #motivation #yourdreams,"Dec 9, 2023",,,12,1,637,32.03,70.78,205,0.6449,1,120,4.17
0zXxdu0hQzo,I got humbled!,"Feb 15, 2024",,,15,0,305,66.23,51.33,202,1.4976,0,118,11.02
LuSiy_f_slk,Invest in yourself to win,"Nov 20, 2023",,,9,0,523,39.39,35.12,210,0.9013,0,235,6.81
Ljkz3dl5Nrg,Stop lying to yourself!!,"Feb 24, 2024",,,6,0,608,30.1,59.78,183,0.7598,0,41,9.76
uDEytb9B1U0,Appreciate the hustle. #selfimprovement  #motivation,"Dec 18, 2023",,,13,1,593,33.05,72.28,196,0.787,1,206,3.88
zXoEdPlGP0Y,"Life goes on, so pick yourself up and keep trying.💪  #selfimprovement  #motivation #yourdreams","Nov 30, 2023",,,13,0,516,32.75,42.16,169,0.7125,0,176,1.7
p4UERc8OglY,Focus on yourself #selfimprovement  #motivation,"Dec 7, 2023",,,9,0,565,29.56,76.24,167,0.6719,0,136,1.47
_Mx-5pBYOAQ,Don't be afraid #selfimprovement  #motivation,"Dec 11, 2023",,,11,0,505,31.49,273.8,163,1.8595,0,263,3.04
9eLQltoOi8I,The problem to your success,"Feb 1, 2024",,,10,0,549,28.6,58.29,157,0.5592,0,109,7.34
j-ILWE5FQMQ,Stay Focus to win . #selfimprovement  #motivation,"Dec 14, 2023",,,9,0,655,22.14,72.08,145,0.4645,0,170,2.94
PcX7LnVqIq4,"You are growing, believe me!","Jan 1, 2024",,,12,0,489,31.29,61.23,153,0.4424,0,238,3.78
_oQTKuuctOQ,YOU DO... have what it takes,"Feb 6, 2024",,,7,0,399,32.33,79.86,130,0.6921,0,145,2.07
kOY_nnEBObQ,Focus every day to better yourself!,"Dec 30, 2023",,,7,0,359,34.54,59.4,124,0.3683,0,135,1.48
6b0REDQCmSc,Can you see it through?,"Jan 17, 2024",,,8,3,318,38.36,99.36,122,0.4041,3,122,1.64
mi5_Z7nXEWE,What is YOUR gift?,"Dec 24, 2023",,,8,0,356,31.18,74.26,112,0.439,0,131,3.05
k8hlpJvxOmY,Love being you!!,"Dec 25, 2023",,,7,0,309,35.6,67.25,110,0.3493,0,119,0.84
tXt8X20yHkQ,You have to change,"Feb 25, 2024",,,7,0,304,31.91,55.97,98,0.4875,0,14,21.43
uVgaQZUBgII,"Just start what you want to do, don't think about it  #selfimprovement  #motivation #yourdreams","Dec 2, 2023",,,11,0,268,41.79,39.99,113,0.4895,0,150,4.67
NYs4cG4EMhs,Are you preparing for something ?,"Nov 22, 2023",,,15,0,287,33.45,48.78,96,0.5464,0,271,4.43
lVN-mo8POR0,NO ONE CARES...,"Feb 21, 2024",,,6,0,251,29.88,65.04,75,0.2168,0,55,12.73
fy8FCdWt7UY,3 things to get self discipline,"Feb 16, 2024",,,5,0,208,39.9,46.94,83,0.2706,0,85,5.88
nR3rMtpOxgc,Accept the truth!!,"Feb 22, 2024",,,4,0,207,21.26,80.44,44,0.118,0,49,4.08
NIlkhAdO3rI,Are you willing to improve?,"Jan 16, 2024",,,6,0,225,21.78,105.22,49,0.2148,0,95,5.26
n1jO45BBHqc,My Introduction,"Aug 11, 2021",,,4,1,0,,26.54,56,0.7224,1,271,14.02
MASxME7Utyw,Cutting my hair on the Tallest mountain in ireland!,"Nov 24, 2021",,,3,0,0,,17.88,48,1.1991,0,531,4.9
_hWH7U6nE5M,Are you consistent?,"Dec 12, 2023",,,5,2,68,52.94,88.04,36,0.1849,2,138,4.35
bDZjnP3KKDQ,A mindful-check-in,"Jan 22, 2024",,,6,0,33,72.73,155.79,24,0.1246,0,97,6.19
